Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
565;0;1,3;0;0;0;0,53;0;0;0;
565,25;0;0,67;0;0;0;0,6;0;0;0;
565,5;0;0,29;0;0;0;0,63;0;0;0;
565,75;0;0,29;0;0;0;0,7;0;0;0;
566;0;0,36;0;0;0;0,82;0;0;0;
566,25;0;0,22;0;0;0;0,86;0;0;0;
566,5;0;-0,28;0;0;0;0,94;0;0;0;
566,75;0;-0,51;0;0;0;0,9;0;0;0;
567;0;-0,59;0;0;0;0,87;0;0;0;
567,25;0;-0,81;0;0;0;0,91;0;0;0;
567,5;0;-1,15;0;0;0;1,02;0;0;0;
567,75;0;-1,28;0;0;0;1,09;0;0;0;
568;0;-1,52;0;0;0;0,98;0;0;0;
568,25;0;-2,02;0;0;0;0,95;0;0;0;
568,5;0;-2,32;0;0;0;1,01;0;0;0;
568,75;0;-2,43;0;0;0;1,01;0;0;0;
569;0;-2,69;0;0;0;0,88;0;0;0;
569,25;0;-3,05;0;0;0;0,78;0;0;0;
569,5;0;-3,23;0;0;0;0,68;0;0;0;
569,75;0;-3,36;0;0;0;0,53;0;0;0;
570;0;-3,62;0;0;0;0,44;0;0;0;
570,25;2,97;-3,85;1,2;-0,77;1,7;0,38;-0,97;-1,01;0,18;
570,5;2,41;-3,79;0,96;-0,97;1,7;0,2;-1,08;-1,08;0,19;
570,75;2,2;-3,61;0,66;-1,22;1,7;-0,01;-1,23;-1,09;0,21;
571;2,21;-3,56;0,37;-1,36;1,7;-0,09;-1,18;-0,93;0,28;
571,25;1,84;-3,62;0,09;-1,36;1,7;-0,2;-1,15;-0,7;0,38;
571,5;1,24;-3,65;-0,21;-1,37;1,7;-0,37;-0,9;-0,31;0,51;
571,75;1,24;-3,58;-0,3;-1,36;1,7;-0,51;-0,7;0,1;0,65;
572;1,25;-3,3;-0,4;-1,36;1,7;-0,5;-0,35;0,6;0,79;
572,25;1,27;-3,03;-0,65;-1,36;1,75;-0,47;-0,07;1,03;0,91;
572,5;1,25;-2,94;-0,7;-1,36;1,76;-0,5;0,27;1,45;0,99;
572,75;1,06;-2,77;-0,85;-1,31;1,76;-0,54;0,52;1,73;1,03;
573;1,05;-2,5;-0,89;-1,02;1,75;-0,5;0,73;1,93;1;
573,25;1,04;-2,32;-0,94;-0,83;1,75;-0,45;0,9;2;0,92;
573,5;0,66;-2,27;-0,89;-0,58;1,75;-0,36;0,97;1,95;0,79;
573,75;0,66;-2,21;-0,8;-0,43;1,75;-0,25;1,05;1,83;0,63;
574;0,67;-2,05;-0,55;-0,09;1,76;-0,16;1,01;1,61;0,45;
574,25;0,66;-2;-0,26;0,11;1,75;-0,05;1,06;1,4;0,26;
574,5;0,67;-2,15;-0,01;0,4;1,75;0,07;0,95;1,11;0,08;
574,75;0,65;-2,22;0,23;0,74;1,75;0,16;0,99;0,9;-0,08;
575;0,66;-2,21;0,68;1,09;1,76;0,22;0,84;0,61;-0,22;
575,25;-0,49;-2,28;1,06;1,32;1,75;0,28;0,88;0,42;-0,33;
575,5;-0,48;-2,47;1,4;1,66;1,75;0,3;0,69;0,16;-0,4;
575,75;-0,28;-2,63;1,89;2;1,76;0,33;0,7;0,02;-0,46;
576;-0,26;-2,72;2,18;2,2;1,7;0,38;0,49;-0,18;-0,46;
576,25;0,1;-2,79;2,18;2,15;2,05;0,47;0,46;-0,27;-0,46;
576,5;0,34;-2,93;2,34;2,15;1,65;0,5;0,25;-0,41;-0,39;
576,75;0,47;-3,04;2,2;2,15;0,69;0,48;0,2;-0,43;-0,32;
577;0,48;-2,95;1,89;2,09;-0,03;0,4;0,03;-0,46;-0,19;
577,25;0,68;-2,99;1,69;1,76;-0,75;0,33;-0,01;-0,41;-0,06;
577,5;0,68;-3,29;1,45;1,51;-1,46;0,23;-0,1;-0,35;0,1;
577,75;0,67;-3,61;1,35;1,33;-3,52;0,16;-0,13;-0,24;0,26;
578;0,67;-3,72;1,37;1,32;-3,53;0,09;-0,14;-0,11;0,43;
578,25;0,51;-3,72;1,2;1,32;-3,53;-0,04;-0,16;0,02;0,59;
578,5;0,51;-3,68;1,11;1,32;-3,52;-0,13;-0,1;0,16;0,72;
578,75;0,49;-3,61;1,06;1,32;-3,13;-0,23;-0,1;0,24;0,84;
579;0,47;-3,41;0,96;1,32;-3,03;-0,34;-0,01;0,34;0,89;
579,25;0,33;-3,27;0,81;1,32;-2,73;-0,42;-0,01;0,36;0,93;
579,5;0,27;-3,19;0,78;1,32;-2,59;-0,45;0,11;0,39;0,9;
579,75;0,31;-2,92;0,86;1,32;-0,81;-0,51;0,11;0,34;0,86;
580;0,3;-2,55;0,96;1,32;0,8;-0,54;0,22;0,29;0,73;
580,25;0,09;-2,3;1,01;1,32;1,46;-0,56;0,23;0,2;0,62;
580,5;0,11;-2,26;1,31;1,62;1,5;-0,58;0,33;0,11;0,43;
580,75;-0,1;-2,37;1,35;1,95;1,55;-0,63;0,35;0;0,26;
581;-0,09;-2,35;1,3;2,4;1,56;-0,66;0,42;-0,12;0,03;
581,25;-0,09;-2,18;1,35;2,74;1,57;-0,61;0,44;-0,21;-0,16;
581,5;-0,28;-2,07;1,49;3,18;1,6;-0,54;0,48;-0,32;-0,38;
581,75;-0,27;-1,94;1,5;3,61;1,61;-0,49;0,5;-0,38;-0,56;
582;-0,28;-1,68;1,69;4;1,61;-0,49;0,51;-0,46;-0,76;
582,25;-0,27;-1,39;1,74;4,25;1,6;-0,55;0,52;-0,46;-0,9;
582,5;-0,08;-1,22;1,74;4,39;1,6;-0,57;0,5;-0,5;-1,03;
582,75;-0,1;-1,09;1,64;4,49;1,6;-0,47;0,5;-0,45;-1,11;
583;-0,07;-0,94;1,69;4,59;1,56;-0,38;0,48;-0,43;-1,16;
583,25;-0,1;-0,82;1,44;4,49;1,56;-0,35;0,47;-0,35;-1,18;
583,5;-0,1;-0,81;1,3;4,44;1,55;-0,35;0,44;-0,3;-1,15;
583,75;-0,08;-0,72;1,2;4,44;1,55;-0,26;0,42;-0,21;-1,11;
584;-0,09;-0,65;1,25;4,44;1,56;-0,15;0,4;-0,14;-1,02;
584,25;-0,11;-0,76;1,25;4,44;1,55;-0,08;0,36;-0,08;-0,93;
584,5;-0,1;-0,94;1,25;4,44;1,55;-0,03;0,36;-0,01;-0,81;
584,75;-0,1;-0,89;1,39;4,2;1,5;0,04;0,31;0;-0,7;
585;-0,11;-0,62;1,44;4,05;1,51;0,11;0,32;0,04;-0,58;
585,25;0,11;-0,6;1,49;4;1,5;0,23;0,26;-0,01;-0,46;
585,5;0,27;-0,77;1,54;4;1,51;0,33;0,28;0;-0,36;
585,75;0,29;-0,84;1,69;3,91;1,51;0,32;0,22;-0,1;-0,27;
586;0,51;-0,85;1,74;3,81;1,5;0,27;0,25;-0,12;-0,19;
586,25;0,49;-0,94;1,84;3,57;1,51;0,32;0,18;-0,24;-0,13;
586,5;0,68;-1,13;1,94;3,52;1,5;0,42;0,22;-0,28;-0,09;
586,75;0,64;-1,4;2,08;3,47;1,51;0,4;0,16;-0,4;-0,07;
587;0,7;-1,63;2,13;3,42;1,55;0,32;0,19;-0,42;-0,05;
587,25;0,68;-1,71;2,23;3,42;1,6;0,29;0,16;-0,5;-0,05;
587,5;0,48;-1,75;2,23;3,42;1,6;0,27;0,18;-0,49;-0,05;
587,75;0,49;-1,85;2,23;3,42;1,61;0,2;0,16;-0,51;-0,06;
588;0,45;-1,86;2,13;3,42;1,65;0,11;0,18;-0,45;-0,06;
