Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
4985;0;2,85;0;0;0;0,88;0;0;0;
4985,25;0;3,25;0;0;0;0,89;0;0;0;
4985,5;0;1,1;0;0;0;0,81;0;0;0;
4985,75;0;0,11;0;0;0;0,66;0;0;0;
4986;0;0,23;0;0;0;0,6;0;0;0;
4986,25;0;0,3;0;0;0;0,58;0;0;0;
4986,5;0;0,21;0;0;0;0,57;0;0;0;
4986,75;0;0,2;0;0;0;0,74;0;0;0;
4987;0;0,43;0;0;0;0,03;0;0;0;
4987,25;0;0,86;0;0;0;-0,32;0;0;0;
4987,5;0;1,06;0;0;0;-0,28;0;0;0;
4987,75;0;1,13;0;0;0;-0,26;0;0;0;
4988;0;1,15;0;0;0;-0,27;0;0;0;
4988,25;0;1,04;0;0;0;-0,27;0;0;0;
4988,5;0;1;0;0;0;-0,12;0;0;0;
4988,75;0;1,07;0;0;0;0,2;0;0;0;
4989;0;1,08;0;0;0;0,32;0;0;0;
4989,25;0;1,08;0;0;0;0,34;0;0;0;
4989,5;0;1,02;0;0;0;0,41;0;0;0;
4989,75;0;1,02;0;0;0;0,43;0;0;0;
4990;0;0,8;0;0;0;0,43;0;0;0;
4990,25;0,7;0,27;-0,3;0,01;1,26;0,4;-0,53;-0,33;0,71;
4990,5;1,59;0,1;-0,01;0,02;1,26;0,44;-0,69;-0,46;0,75;
4990,75;1,96;0,1;0,31;0,01;1,26;0,48;-0,79;-0,56;0,77;
4991;1,96;-0,07;0,42;0,01;1,26;0,44;-0,98;-0,65;0,77;
4991,25;2,15;-0,26;0,42;0,01;1,26;0,49;-1,13;-0,7;0,75;
4991,5;2,13;-0,28;0,43;0,01;1,26;0,41;-1,33;-0,73;0,72;
4991,75;2,34;-0,13;0,42;0,01;1,26;0,17;-1,5;-0,72;0,67;
4992;2,34;-0,25;0,43;0,01;1,26;0;-1,65;-0,68;0,61;
4992,25;2,37;-0,37;0,33;0,01;1,26;-0,11;-1,78;-0,6;0,53;
4992,5;2,35;-0,31;0,14;0,01;1,26;-0,35;-1,81;-0,49;0,46;
4992,75;2,35;-0,45;0,04;0,01;1,26;-0,69;-1,84;-0,36;0,36;
4993;2,36;-0,43;0,03;0,01;1,26;-1,01;-1,72;-0,21;0,28;
4993,25;2,35;-0,23;0,09;0,5;1,26;-1,19;-1,64;-0,06;0,18;
4993,5;2,16;0,09;-0,11;0,89;1,26;-1,31;-1,4;0,09;0,12;
4993,75;1,95;0,43;-0,4;0,98;1,25;-1,27;-1,24;0,23;0,03;
4994;1,59;0,98;-0,65;1,08;1,26;-1,05;-0,95;0,34;0;
4994,25;1,4;1,81;-0,69;1,23;1,25;-0,85;-0,77;0,41;-0,06;
4994,5;1,32;2,76;-0,69;1,18;1,26;-0,63;-0,51;0,45;-0,06;
4994,75;0,99;3,44;-0,7;1,13;1,25;-0,42;-0,35;0,44;-0,09;
4995;-0,58;3,66;-0,7;1,13;1,26;-0,18;-0,14;0,38;-0,06;
4995,25;-0,39;3,44;-0,45;1,13;1,26;0,06;-0,02;0,29;-0,07;
4995,5;-0,42;2,85;-0,25;1,13;1,26;0,34;0,12;0,15;-0,02;
4995,75;-0,22;2,08;-0,06;1,13;1,26;0,67;0,22;0;-0,03;
4996;-0,22;1,46;0,19;1,13;1,25;1,02;0,3;-0,19;0,02;
4996,25;-0,21;1,03;0,57;1,13;0,88;1,29;0,39;-0,37;0,01;
4996,5;-0,21;0,62;0,86;1,13;0,71;1,39;0,43;-0,55;0,04;
4996,75;-0,24;0,23;1,25;1,13;0,3;1,31;0,51;-0,7;0,02;
4997;-0,23;-0,03;1,35;1,15;-0,22;1,13;0,51;-0,83;0,03;
4997,25;-0,22;-0,19;1,4;1,28;-0,67;0,9;0,57;-0,91;0,01;
4997,5;-0,21;-0,3;1,5;1,33;-1,16;0,68;0,56;-0,94;0;
4997,75;-0,22;-0,44;1,54;1,37;-1,66;0,52;0,58;-0,92;-0,02;
4998;-0,02;-0,49;1,55;1,52;-2,1;0,33;0,57;-0,83;-0,03;
4998,25;-0,04;-0,49;1,45;1,67;-2,09;0,14;0,58;-0,7;-0,04;
4998,5;-0,22;-0,54;1,25;1,66;-2,1;0;0,59;-0,48;-0,06;
4998,75;-0,23;-0,6;0,96;1,67;-2,15;-0,13;0,57;-0,25;-0,04;
4999;-0,21;-0,59;0,6;1,62;-2,14;-0,27;0,61;0,04;-0,06;
4999,25;-0,22;-0,51;0,35;1,57;-2,15;-0,44;0,58;0,33;-0,03;
4999,5;-0,4;-0,38;-0,01;1,57;-2,15;-0,54;0,64;0,66;-0,05;
4999,75;-0,41;-0,2;-0,35;1,57;-2,15;-0,62;0,58;0,95;-0,01;
5000;-0,57;-0,03;-0,69;1,57;-2,14;-0,72;0,65;1,24;-0,02;
5000,25;0,61;0,2;-1,05;1,57;-2,15;-0,81;0,58;1,47;0,01;
5000,5;0,8;0,51;-1,29;1,57;-2,14;-0,81;0,63;1,67;-0,01;
5000,75;0,79;0,87;-1,39;1,42;-2,15;-0,78;0,54;1,78;0;
5001;1;1,14;-1,48;1,42;-2,15;-0,71;0,56;1,84;-0,05;
5001,25;1,39;1,38;-1,28;1,42;-2,15;-0,59;0,48;1,82;-0,07;
5001,5;1,36;1,61;-1,08;1,42;-2,14;-0,46;0,46;1,73;-0,14;
5001,75;1,57;1,81;-0,74;1,43;-2,15;-0,31;0,39;1,57;-0,21;
5002;1,77;1,85;-0,25;1,52;-2,15;-0,13;0,34;1,35;-0,32;
5002,25;1,78;1,83;0,37;2,01;-2,15;0,07;0,3;1,08;-0,43;
5002,5;1,78;1,75;1,06;2,65;-2,14;0,23;0,22;0,77;-0,56;
5002,75;1,76;1,56;1,55;2,96;-2,15;0,36;0,22;0,44;-0,7;
5003;1,76;1,36;1,99;3,18;-2,14;0,49;0,12;0,1;-0,84;
5003,25;1,72;1,14;2,28;3,42;-2,14;0,61;0,16;-0,22;-0,99;
5003,5;1,56;0,91;2,53;3,42;-2,14;0,65;0,05;-0,54;-1,11;
5003,75;1,56;0,66;2,87;3,47;-2,15;0,69;0,12;-0,8;-1,23;
5004;1,58;0,45;3,16;3,57;-2,14;0,69;0,02;-1,02;-1,33;
5004,25;1,57;0,3;3,3;3,54;-2,15;0,65;0,1;-1,19;-1,4;
5004,5;1,56;0,14;3,4;3,52;-2,15;0,59;0,03;-1,3;-1,44;
5004,75;1,57;0;3,4;3,52;-2,15;0,52;0,11;-1,36;-1,44;
5005;1,57;-0,09;3,55;3,52;-2,15;0,44;0,07;-1,34;-1,41;
5005,25;1,57;-0,23;3,92;3,52;-2,15;0,34;0,14;-1,3;-1,35;
