LOCATION;TYPE;RADIUS;PARAMETER A;Planned Cant
555,75;RECTA;;;0
556;RECTA;;;0
556,25;RECTA;;;0
556,5;RECTA;;;0
556,75;RECTA;;;0
557;RECTA;;;0
557,25;RECTA;;;0
557,5;RECTA;;;0
557,75;RECTA;;;0
558;RECTA;;;0
558,25;RECTA;;;0
558,5;RECTA;;;0
558,75;RECTA;;;0
559;RECTA;;;0
559,25;RECTA;;;0
559,5;RECTA;;;0
559,75;RECTA;;;0
560;RECTA;;;0
560,25;RECTA;;;0
560,5;RECTA;;;0
560,75;RECTA;;;0
561;RECTA;;;0
561,25;RECTA;;;0
561,5;RECTA;;;0
561,75;RECTA;;;0
562;RECTA;;;0
562,25;RECTA;;;0
562,5;RECTA;;;0
562,75;RECTA;;;0
563;RECTA;;;0
563,25;RECTA;;;0
563,5;RECTA;;;0
563,75;RECTA;;;0
564;RECTA;;;0
564,25;RECTA;;;0
564,5;RECTA;;;0
564,75;RECTA;;;0
565;RECTA;;;0
565,25;RECTA;;;0
565,5;RECTA;;;0
565,75;RECTA;;;0
566;RECTA;;;0
566,25;RECTA;;;0
566,5;RECTA;;;0
566,75;RECTA;;;0
567;RECTA;;;0
567,25;RECTA;;;0
567,5;RECTA;;;0
567,75;RECTA;;;0
568;RECTA;;;0
568,25;RECTA;;;0
568,5;RECTA;;;0
568,75;RECTA;;;0
569;RECTA;;;0
569,25;RECTA;;;0
569,5;RECTA;;;0
569,75;RECTA;;;0
570;RECTA;;;0
570,25;RECTA;;;0
570,5;RECTA;;;0
570,75;RECTA;;;0
571;RECTA;;;0
571,25;RECTA;;;0
571,5;RECTA;;;0
571,75;RECTA;;;0
572;RECTA;;;0
572,25;RECTA;;;0
572,5;RECTA;;;0
572,75;RECTA;;;0
573;RECTA;;;0
573,25;RECTA;;;0
573,5;RECTA;;;0
573,75;RECTA;;;0
574;RECTA;;;0
574,25;RECTA;;;0
574,5;RECTA;;;0
574,75;RECTA;;;0
575;RECTA;;;0
575,25;RECTA;;;0
575,5;RECTA;;;0
575,75;RECTA;;;0
576;RECTA;;;0
576,25;RECTA;;;0
576,5;RECTA;;;0
576,75;RECTA;;;0
577;RECTA;;;0
577,25;RECTA;;;0
577,5;RECTA;;;0
577,75;RECTA;;;0
578;RECTA;;;0
578,25;RECTA;;;0
578,5;RECTA;;;0
578,75;RECTA;;;0
579;RECTA;;;0
579,25;RECTA;;;0
579,5;RECTA;;;0
579,75;RECTA;;;0
580;RECTA;;;0
580,25;RECTA;;;0
580,5;RECTA;;;0
580,75;RECTA;;;0
581;RECTA;;;0
581,25;RECTA;;;0
581,5;RECTA;;;0
581,75;RECTA;;;0
582;RECTA;;;0
582,25;RECTA;;;0
582,5;RECTA;;;0
582,75;RECTA;;;0
